Apple Silicon Enhanced Edge Detection - Simple Version Results
============================================================
Number of boundary points: 239
Number of projection angles: 361
Contour area: 10611 pixels

Improvements made:
- Multi-scale Sobel edge detection (3x3 + 5x5 kernels)
- Expanded HSV color range for better detection
- Multi-scale top-hat transforms (7x7, 15x15, 25x25)
- Enhanced morphological operations
- CPU-optimized implementation for Apple Silicon

Descriptor values:
Angle 82: 478.369
Angle 83: 474.57
Angle 84: 470.627
Angle 85: 466.69
Angle 86: 463.232
Angle 87: 459.633
Angle 88: 455.894
Angle 89: 452.016
Angle 90: 448
Angle 91: 445.349
Angle 92: 442.562
Angle 93: 439.64
Angle 94: 436.585
Angle 95: 433.396
Angle 96: 430.076
Angle 97: 426.624
Angle 98: 423.042
Angle 99: 419.332
Angle 100: 415.494
Angle 101: 411.529
Angle 102: 407.439
Angle 103: 403.225
Angle 104: 398.888
Angle 105: 394.43
Angle 106: 389.851
Angle 107: 385.154
Angle 108: 380.339
Angle 109: 375.471
Angle 110: 370.536
Angle 111: 365.489
Angle 112: 360.33
Angle 113: 355.061
Angle 114: 349.685
Angle 115: 344.201
Angle 116: 338.613
Angle 117: 332.922
Angle 118: 327.13
Angle 119: 321.237
Angle 120: 315.247
Angle 121: 309.161
Angle 122: 302.981
Angle 123: 296.708
Angle 124: 290.345
Angle 125: 287.222
Angle 126: 287.034
Angle 127: 286.759
Angle 128: 286.397
Angle 129: 285.948
Angle 130: 285.411
Angle 131: 287.413
Angle 132: 293.831
Angle 133: 300.16
Angle 134: 306.397
Angle 135: 312.541
Angle 136: 318.59
Angle 137: 324.542
Angle 138: 330.394
Angle 139: 336.147
Angle 140: 341.796
Angle 141: 347.342
Angle 142: 352.782
Angle 143: 358.114
Angle 144: 363.338
Angle 145: 368.45
Angle 146: 373.451
Angle 147: 378.337
Angle 148: 383.109
Angle 149: 387.763
Angle 150: 392.3
Angle 151: 396.717
Angle 152: 401.013
Angle 153: 405.187
Angle 154: 409.282
Angle 155: 413.286
Angle 156: 417.164
Angle 157: 420.915
Angle 158: 424.538
Angle 159: 428.032
Angle 160: 431.395
Angle 161: 434.627
Angle 162: 437.726
Angle 163: 440.692
Angle 164: 443.524
Angle 165: 446.221
Angle 166: 448.781
Angle 167: 451.205
Angle 168: 453.492
Angle 169: 455.641
Angle 170: 457.65
Angle 171: 459.521
Angle 172: 461.251
Angle 173: 462.841
Angle 174: 464.289
Angle 175: 465.597
Angle 176: 466.762
Angle 177: 467.786
Angle 178: 468.667
Angle 179: 471.345
Angle 180: 474
Angle 181: 476.65
Angle 182: 479.156
Angle 183: 481.515
Angle 184: 483.727
Angle 185: 485.793
Angle 186: 487.996
Angle 187: 492.818
Angle 188: 497.489
Angle 189: 502.009
Angle 190: 506.376
Angle 191: 510.589
Angle 192: 514.646
Angle 193: 518.547
Angle 194: 522.289
Angle 195: 525.872
Angle 196: 529.296
Angle 197: 532.558
Angle 198: 535.657
Angle 199: 538.594
Angle 200: 541.366
Angle 201: 543.974
Angle 202: 546.416
Angle 203: 548.692
Angle 204: 550.8
Angle 205: 552.74
Angle 206: 554.513
Angle 207: 556.116
Angle 208: 557.55
Angle 209: 558.814
Angle 210: 559.908
Angle 211: 560.831
Angle 212: 561.583
Angle 213: 562.165
Angle 214: 562.575
Angle 215: 562.814
Angle 216: 562.881
Angle 217: 562.777
Angle 218: 562.501
Angle 219: 562.054
Angle 220: 561.436
Angle 221: 560.647
Angle 222: 559.687
Angle 223: 558.557
Angle 224: 557.256
Angle 225: 555.786
Angle 226: 554.146
Angle 227: 552.338
Angle 228: 550.361
Angle 229: 548.217
Angle 230: 545.906
Angle 231: 543.428
Angle 232: 540.785
Angle 233: 537.977
Angle 234: 535.006
Angle 235: 531.871
Angle 236: 528.574
Angle 237: 528.05
Angle 238: 527.878
Angle 239: 527.545
Angle 240: 527.051
Angle 241: 526.397
Angle 242: 525.583
Angle 243: 524.608
Angle 244: 523.474
Angle 245: 522.18
Angle 246: 520.727
Angle 247: 519.116
Angle 248: 517.346
Angle 249: 515.419
Angle 250: 513.335
Angle 251: 511.094
Angle 252: 508.698
Angle 253: 506.147
Angle 254: 503.441
Angle 255: 500.823
Angle 256: 498.066
Angle 257: 495.157
Angle 258: 492.097
Angle 259: 488.887
Angle 260: 485.529
Angle 261: 482.022
Angle 262: 478.369
Angle 263: 474.57
Angle 264: 470.627
Angle 265: 466.69
Angle 266: 463.232
Angle 267: 459.633
Angle 268: 455.894
Angle 269: 452.016
Angle 270: 448
Angle 271: 445.349
Angle 272: 442.562
Angle 273: 439.64
Angle 274: 436.585
Angle 275: 433.396
Angle 276: 430.076
Angle 277: 426.624
Angle 278: 423.042
Angle 279: 419.332
Angle 280: 415.494
Angle 281: 411.529
Angle 282: 407.439
Angle 283: 403.225
Angle 284: 398.888
Angle 285: 394.429
Angle 286: 389.851
Angle 287: 385.153
Angle 288: 380.339
Angle 289: 375.471
Angle 290: 370.536
Angle 291: 365.489
Angle 292: 360.33
Angle 293: 355.061
Angle 294: 349.685
Angle 295: 344.202
Angle 296: 338.613
Angle 297: 332.922
Angle 298: 327.13
Angle 299: 321.237
Angle 300: 315.247
Angle 301: 309.161
Angle 302: 302.981
Angle 303: 296.708
Angle 304: 290.345
Angle 305: 287.222
Angle 306: 287.034
Angle 307: 286.759
Angle 308: 286.397
Angle 309: 285.948
Angle 310: 285.411
Angle 311: 287.413
Angle 312: 293.831
Angle 313: 300.16
Angle 314: 306.397
Angle 315: 312.541
Angle 316: 318.59
Angle 317: 324.542
Angle 318: 330.394
Angle 319: 336.147
Angle 320: 341.796
Angle 321: 347.342
Angle 322: 352.782
Angle 323: 358.114
Angle 324: 363.338
Angle 325: 368.45
Angle 326: 373.451
Angle 327: 378.337
Angle 328: 383.109
Angle 329: 387.763
Angle 330: 392.3
Angle 331: 396.717
Angle 332: 401.013
Angle 333: 405.187
Angle 334: 409.282
Angle 335: 413.286
Angle 336: 417.164
Angle 337: 420.915
Angle 338: 424.538
Angle 339: 428.032
Angle 340: 431.395
Angle 341: 434.627
Angle 342: 437.726
Angle 343: 440.692
Angle 344: 443.524
Angle 345: 446.221
Angle 346: 448.781
Angle 347: 451.205
Angle 348: 453.492
Angle 349: 455.641
Angle 350: 457.65
Angle 351: 459.521
Angle 352: 461.251
Angle 353: 462.841
Angle 354: 464.289
Angle 355: 465.597
Angle 356: 466.762
Angle 357: 467.786
Angle 358: 468.667
Angle 359: 471.345
Angle 360: 474
